iter	Passed	Remaining
0	2	218
1	3	187
2	5	176
3	6	163
4	8	160
5	10	157
6	12	160
7	13	157
8	15	154
9	16	152
10	18	149
11	20	148
12	21	145
13	23	144
14	25	142
15	26	138
16	27	134
17	28	130
18	29	127
19	31	124
20	32	120
21	33	118
22	34	115
23	35	112
24	36	110
25	37	107
26	38	105
27	40	103
28	41	101
29	42	99
30	43	97
31	44	95
32	46	93
33	47	91
34	48	90
35	49	88
36	50	86
37	51	84
38	53	83
39	54	81
40	55	79
41	56	77
42	57	75
43	58	74
44	59	72
45	60	71
46	61	69
47	62	68
48	63	66
49	65	65
50	66	63
51	67	62
52	68	60
53	70	59
54	71	58
55	72	56
56	73	55
57	74	54
58	75	52
59	76	51
60	77	49
61	79	48
62	80	47
63	80	45
64	81	44
65	82	42
66	84	41
67	85	40
68	86	38
69	86	37
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	111	2
98	112	1
99	113	0
